time,open,high,low,close
1702289700000,1.35914,1.35917,1.3585,1.3588
1702290000000,1.35891,1.3591,1.3586,1.35896
1702290300000,1.35897,1.35924,1.3587,1.3592
1702290600000,1.35922,1.35932,1.3588,1.359
1702290900000,1.35924,1.35936,1.3589,1.35932
1702291200000,1.35931,1.35934,1.3589,1.35919
1702291500000,1.35913,1.35939,1.3589,1.35928
1702291800000,1.35927,1.35957,1.359,1.35957
1702292100000,1.35954,1.35964,1.3592,1.3594
1702292400000,1.35944,1.35966,1.3592,1.3594
1702292700000,1.35964,1.35988,1.3593,1.35971
1702293000000,1.3597,1.35974,1.3592,1.3592
1702293300000,1.35949,1.35987,1.3592,1.35978
1702293600000,1.35981,1.3599,1.3595,1.35975
1702293900000,1.35974,1.35977,1.3594,1.35964
1702294200000,1.35965,1.35966,1.3592,1.35956
1702294500000,1.35953,1.35953,1.359,1.35943
1702294800000,1.35944,1.35947,1.3589,1.35928
1702295100000,1.35925,1.35967,1.359,1.35959
1702295400000,1.35955,1.35962,1.359,1.35926
1702295700000,1.35927,1.35929,1.3589,1.35916
1702296000000,1.35917,1.35917,1.3586,1.35874
1702296300000,1.35876,1.35882,1.3582,1.3585
1702296600000,1.35849,1.35851,1.358,1.35837
1702296900000,1.3583,1.35839,1.3579,1.35827
1702297200000,1.35824,1.35856,1.358,1.35856
1702297500000,1.35855,1.35876,1.3582,1.35846
1702297800000,1.35845,1.35845,1.358,1.35834
1702298100000,1.35834,1.35845,1.3578,1.358
1702298400000,1.358,1.35802,1.3576,1.35787
1702298700000,1.35782,1.35799,1.3573,1.35761
1702299000000,1.35759,1.35769,1.3572,1.3573
1702299300000,1.35752,1.35752,1.3568,1.35725
1702299600000,1.35725,1.35799,1.357,1.35793
1702299900000,1.35798,1.35808,1.3576,1.35801
1702300200000,1.3578,1.35816,1.3574,1.35764
1702300500000,1.35765,1.35768,1.357,1.35716
1702300800000,1.3572,1.35765,1.3567,1.35702
1702301100000,1.3569,1.35712,1.3566,1.35683
1702301400000,1.35686,1.35739,1.3566,1.35735
1702301700000,1.35734,1.35745,1.3567,1.35715
