time,open,high,low,close,rsi
1702253700000,1.35822,1.35832,1.35818,1.3583,56.65236051501978
1702254000000,1.35824,1.35825,1.3578,1.358,44.72573839662934
1702254300000,1.3578,1.35853,1.3578,1.3582,48.01587301587382
1702254600000,1.35842,1.3586,1.3582,1.35843,59.50413223140549
1702254900000,1.3583,1.35853,1.3582,1.35844,56.828193832598515
1702255200000,1.35845,1.35854,1.3582,1.35852,54.20560747663144
1702255500000,1.35853,1.3586,1.3582,1.35855,57.48792270531474
1702255800000,1.35856,1.35871,1.3583,1.35862,56.65024630541862
1702256100000,1.35861,1.35874,1.3582,1.35843,50.0
1702256400000,1.35842,1.359,1.3581,1.35889,57.70750988142168
1702256700000,1.35888,1.35895,1.3585,1.35883,67.28110599078755
1702257000000,1.35881,1.35902,1.3585,1.35859,57.20720720720622
1702257300000,1.3586,1.35903,1.3584,1.35892,61.382113821138546
1702257600000,1.35894,1.35896,1.3585,1.35881,62.655601659754396
1702257900000,1.3588,1.35901,1.3586,1.359,64.00000000000249
1702258200000,1.35896,1.35931,1.35888,1.3589,69.56521739130812
1702258500000,1.35909,1.35923,1.3586,1.35888,66.03773584906273
1702258800000,1.35893,1.35915,1.3587,1.3591,65.87677725118988
1702259100000,1.35918,1.35966,1.3589,1.3593,68.6956521739175
1702259400000,1.35948,1.35975,1.3592,1.35974,72.93233082707438
1702259700000,1.35972,1.35978,1.3593,1.35965,70.22058823530216
1702260000000,1.35963,1.35984,1.3594,1.35968,69.77611940299265
1702260300000,1.35968,1.35984,1.3594,1.35968,75.10040160643308
1702260600000,1.3597,1.35972,1.3593,1.35966,68.78048780488909
1702260900000,1.35965,1.35977,1.3593,1.35967,71.0000000000081
1702261200000,1.35969,1.35991,1.3594,1.35989,82.828282828298
1702261500000,1.3599,1.35994,1.3595,1.3596,67.52577319588218
1702261800000,1.3598,1.36,1.3596,1.35992,75.81395348837498
1702262100000,1.35991,1.35993,1.3595,1.35993,73.60406091371038
1702262400000,1.35992,1.35993,1.3595,1.3597,69.04761904761703
1702262700000,1.35974,1.35976,1.3594,1.3597,69.71153846153338
1702263000000,1.3595,1.3598,1.3594,1.35976,67.18749999999946
1702263300000,1.35979,1.3599,1.3595,1.3597,61.23595505617501
1702263600000,1.35973,1.35997,1.3595,1.35987,54.30463576158658
1702263900000,1.35986,1.35992,1.3596,1.3596,48.52071005916903
1702264200000,1.35985,1.36004,1.3596,1.35995,56.716417910445124
1702264500000,1.36,1.36001,1.3596,1.35986,54.28571428571458
1702264800000,1.3598,1.35998,1.3596,1.35985,54.545454545450674
1702265100000,1.35984,1.35999,1.3596,1.3596,48.49785407725359
1702265400000,1.35991,1.36001,1.3596,1.3597,45.70135746606212
